start_Airport,destination_airport,number,distance
BRE,FMO,1,1.4308860867113395
BRE,FRA,1,3.021905281171418
BRE,LEJ,1,3.8126995285977676
BRE,MUC,1,5.570223387174382
BRE,STR,1,4.379288252367907
CGN,DRS,1,6.629835344787229
CGN,FDH,1,3.9769889053995953
CGN,HAM,1,3.9672777448692247
CGN,HDF,1,7.629607430847784
CGN,LEJ,1,5.124121022984504
CGN,MUC,3,5.279339085288936
CGN,RLG,1,5.974155781315515
CGN,TXL,5,6.374127466633679
DRS,CGN,1,6.629835344787229
DRS,DUS,2,7.002174064450499
DRS,FRA,1,5.3116799370104815
DRS,MUC,1,3.412857281642
DRS,STR,1,5.160133583204183
DTM,HDF,1,6.952976267474771
DTM,MUC,2,5.237857440641341
DUS,DRS,2,7.002174064450499
DUS,FDH,1,4.541455505985008
DUS,FRA,2,2.198082323845038
DUS,GWT,1,3.950657969185433
DUS,HAM,2,3.9821544638694166
DUS,HDF,1,7.826228766236692
DUS,LEJ,1,5.471259703891325
DUS,MUC,2,5.8148002442905105
DUS,NUE,2,4.66841220881147
DUS,STR,1,3.575728934345414
DUS,TXL,3,6.643478241553966
FDH,CGN,1,3.9769889053995953
FDH,DUS,1,4.541455505985008
FDH,FRA,1,2.542550147505665
FDH,HAM,1,5.978142276561136
FDH,TXL,1,6.1770727278626385
FKB,HAM,1,5.212643477260761
FKB,TXL,2,6.434718684931201
FMM,HAM,1,5.647194431845988
FMM,TXL,1,5.494055817396199
FMO,BRE,1,1.4308860867113395
FMO,FRA,1,2.2803157484529795
FMO,MUC,1,5.5780695251224275
FMO,STR,1,3.7721003640022777
FRA,BRE,1,3.021905281171418
FRA,DRS,1,5.3116799370104815
FRA,DUS,2,2.198082323845038
FRA,FDH,1,2.542550147505665
FRA,FMO,1,2.2803157484529795
FRA,GWT,1,4.88528863565509
FRA,HAJ,1,2.671370966987555
FRA,HAM,1,3.8663550613646005
FRA,HDF,1,6.77810549408204
FRA,LEJ,1,3.920711360585602
FRA,MUC,2,3.627746903505947
FRA,NUE,1,2.5638622747636033
FRA,STR,1,1.493030802514109
FRA,TXL,4,5.351072578037509
GWT,DUS,1,3.950657969185433
GWT,FRA,1,4.88528863565509
GWT,HAM,1,2.0882250455492737
GWT,MUC,2,7.4093232497573105
GWT,STR,1,6.285419532421783
GWT,TXL,1,5.478507606718435
HAJ,FRA,1,2.671370966987555
HAJ,MUC,1,4.613479844282345
HAJ,STR,2,3.7995321898381875
HAM,CGN,1,3.9672777448692247
HAM,DUS,2,3.9821544638694166
HAM,FDH,1,5.978142276561136
HAM,FKB,1,5.212643477260761
HAM,FMM,1,5.647194431845988
HAM,FRA,2,3.8663550613646005
HAM,GWT,1,2.0882250455492737
HAM,MUC,2,5.5744812214587105
HAM,NUE,2,4.273018572412809
HAM,SCN,2,5.271274518133895
HAM,STR,2,4.999573070554284
HDF,CGN,1,7.629607430847784
HDF,DTM,1,6.952976267474771
HDF,DUS,1,7.826228766236692
HDF,FRA,1,6.77810549408204
HDF,STR,1,7.157646578144006
LEJ,BRE,1,3.8126995285977676
LEJ,CGN,1,5.124121022984504
LEJ,DUS,1,5.471259703891325
LEJ,FRA,1,3.920711360585602
LEJ,MUC,1,3.1029331883058653
LEJ,STR,1,4.0695799140233335
MHG,TXL,1,5.684538882929555
MUC,BRE,1,5.570223387174382
MUC,CGN,2,5.279339085288936
MUC,DRS,1,3.412857281642
MUC,DTM,2,5.237857440641341
MUC,DUS,3,5.8148002442905105
MUC,FMO,1,5.5780695251224275
MUC,FRA,3,3.627746903505947
MUC,GWT,2,7.4093232497573105
MUC,HAJ,1,4.613479844282345
MUC,HAM,2,5.5744812214587105
MUC,LEJ,1,3.1029331883058653
MUC,NUE,1,1.3461483746396605
MUC,PAD,1,4.54720349985102
MUC,RLG,1,5.586125877659658
MUC,STR,1,2.5860732944805873
MUC,TXL,3,4.465913181691285
NUE,DUS,2,4.66841220881147
NUE,FRA,1,2.5638622747636033
NUE,HAM,2,4.273018572412809
NUE,MUC,1,1.3461483746396605
NUE,TXL,3,3.7752157194969644
NUE,ZQW,1,3.688857647215056
PAD,MUC,1,4.54720349985102
RLG,CGN,1,5.974155781315515
RLG,MUC,1,5.586125877659658
RLG,STR,1,6.056100837047308
SCN,HAM,2,5.271274518133895
SCN,TXL,4,7.02564794021745
STR,BRE,1,4.379288252367907
STR,DRS,1,5.160133583204183
STR,DUS,1,3.575728934345414
STR,FMO,1,3.7721003640022777
STR,FRA,1,1.493030802514109
STR,GWT,1,6.285419532421783
STR,HAJ,2,3.7995321898381875
STR,HAM,2,4.999573070554284
STR,HDF,1,7.157646578144006
STR,LEJ,1,4.0695799140233335
STR,MUC,2,2.5860732944805873
STR,RLG,1,6.056100837047308
STR,TXL,3,5.612984726085254
TXL,CGN,3,6.374127466633679
TXL,DUS,3,6.643478241553966
TXL,FDH,1,6.1770727278626385
TXL,FKB,2,6.434718684931201
TXL,FMM,1,5.494055817396199
TXL,FRA,4,5.351072578037509
TXL,GWT,1,5.478507606718435
TXL,MHG,1,5.684538882929555
TXL,MUC,3,4.465913181691285
TXL,NUE,3,3.7752157194969644
TXL,SCN,4,7.02564794021745
TXL,STR,3,5.612984726085254
